Scenario - Bisection Task
Logfile written - 09/11/2018 16:35:26

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
1	124	Picture	ITI	ITI							3199575	0	1	14998	1	0	next	other	0
1	125	Sound	Stim;1;test;1;16;1;1496	Stim	1	test	1	16	1	1496	3214540	0	4			0		other	0
1	126	Picture	ITI	ITI							3244638	0	1	18400	1	0	next	other	0
1	127	Sound	Stim;1;test;1;17;2;1834	Stim	1	test	1	17	2	1834	3262984	0	4			0		other	0
1	128	Picture	ITI	ITI							3295048	0	1	14443	1	0	next	other	0
1	129	Sound	Stim;1;test;1;18;5;1434	Stim	1	test	1	18	5	1434	3309396	0	4			0		other	0
1	130	Picture	ITI	ITI							3350249	0	1	14720	1	0	next	other	0
1	131	Sound	Stim;1;test;1;19;2;1468	Stim	1	test	1	19	2	1468	3364935	0	4			0		other	0
1	132	Picture	ITI	ITI							3396979	0	1	19650	1	0	next	other	0
1	133	Sound	Stim;1;test;1;20;4;1960	Stim	1	test	1	20	4	1960	3416586	0	4			0		other	0
1	134	Picture	ITI	ITI							3453916	0	1	11735	1	0	next	other	0
1	135	Sound	Stim;1;test;1;21;6;1166	Stim	1	test	1	21	6	1166	3465584	0	4			0		other	0
1	136	Picture	ITI	ITI							3510575	0	1	17914	1	0	next	other	0
1	137	Sound	Stim;1;test;1;22;4;1786	Stim	1	test	1	22	4	1786	3528443	0	4			0		other	0
1	138	Picture	ITI	ITI							3565776	0	1	17289	1	0	next	other	0
1	139	Sound	Stim;1;test;1;23;2;1725	Stim	1	test	1	23	2	1725	3583032	0	4			0		other	0
1	140	Picture	ITI	ITI							3615075	0	1	13679	1	0	next	other	0
1	141	Sound	Stim;1;test;1;24;2;1363	Stim	1	test	1	24	2	1363	3628711	0	4			0		other	0
1	142	Picture	ITI	ITI							3660764	0	1	14443	1	0	next	other	0
1	143	Sound	Stim;1;test;1;25;3;1437	Stim	1	test	1	25	3	1437	3675142	0	4			0		other	0
1	144	Picture	ITI	ITI							3709646	0	1	14720	1	0	next	other	0
1	145	Sound	Stim;1;test;1;26;6;1464	Stim	1	test	1	26	6	1464	3724294	0	4			0		other	0
1	146	Picture	ITI	ITI							3769291	0	1	18470	1	0	next	other	0
1	147	Sound	Stim;1;test;1;27;6;1841	Stim	1	test	1	27	6	1841	3787709	0	4			0		other	0
1	148	Picture	ITI	ITI							3832685	0	1	18539	1	0	next	other	0
1	149	Sound	Stim;1;test;1;28;2;1843	Stim	1	test	1	28	2	1843	3851123	0	4			0		other	0
1	150	Picture	ITI	ITI							3883165	0	1	15206	1	0	next	other	0
1	151	Sound	Stim;1;test;1;29;6;1511	Stim	1	test	1	29	6	1511	3898282	0	4			0		other	0
1	152	Picture	ITI	ITI							3943296	0	1	15345	1	0	next	other	0
1	153	Sound	Stim;1;test;1;30;1;1527	Stim	1	test	1	30	1	1527	3958571	0	4			0		other	0
1	154	Picture	ITI	ITI							3988637	0	1	16734	1	0	next	other	0
1	155	Sound	Stim;1;test;1;31;6;1666	Stim	1	test	1	31	6	1666	4005305	0	7			0		other	0
1	156	Picture	ITI	ITI							4050295	0	1	17012	1	0	next	other	0
1	157	Sound	Stim;1;test;1;32;3;1693	Stim	1	test	1	32	3	1693	4067231	0	4			0		other	0
1	158	Picture	ITI	ITI							4101677	0	1	17984	1	0	next	other	0
1	159	Sound	Stim;1;test;1;33;7;1790	Stim	1	test	1	33	7	1790	4119587	0	4			0		other	0
1	160	Picture	ITI	ITI							4169585	0	1	18609	1	0	next	other	0
1	161	Sound	Stim;1;test;1;34;3;1850	Stim	1	test	1	34	3	1850	4188092	0	6			0		other	0
1	162	Picture	ITI	ITI							4222564	0	1	17081	1	0	next	other	0
1	163	Sound	Stim;1;test;1;35;3;1704	Stim	1	test	1	35	3	1704	4239610	0	4			0		other	0
