Scenario - Bisection Task
Logfile written - 08/28/2018 16:11:58

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
40	126	Sound	Stim;40;test;1;25;6	Stim	40	test	1	25	6	2650467	0	4			0		other	0
40	127	Picture	ITI	ITI						2695847	0	1	18748	1	0	next	other	0
40	128	Sound	Stim;40;test;1;26;4	Stim	40	test	1	26	4	2714514	0	4			0		other	0
40	129	Picture	ITI	ITI						2752299	0	1	15623	1	0	next	other	0
40	130	Sound	Stim;40;test;1;27;4	Stim	40	test	1	27	4	2767834	0	4			0		other	0
40	131	Picture	ITI	ITI						2805625	0	1	16526	1	0	next	other	0
40	132	Sound	Stim;40;test;1;28;3	Stim	40	test	1	28	3	2822090	0	4			0		other	0
40	133	Picture	ITI	ITI						2856939	0	1	10554	1	0	next	other	0
40	134	Sound	Stim;40;test;1;29;5	Stim	40	test	1	29	5	2867415	0	4			0		other	0
40	135	Picture	ITI	ITI						2908668	0	1	14651	1	0	next	other	0
40	136	Sound	Stim;40;test;1;30;5	Stim	40	test	1	30	5	2923234	0	4			0		other	0
40	137	Picture	ITI	ITI						2964495	0	1	16942	1	0	next	other	0
40	138	Sound	Stim;40;test;1;31;2	Stim	40	test	1	31	2	2981350	0	4			0		other	0
40	139	Picture	ITI	ITI						3013794	0	1	19164	1	0	next	other	0
40	140	Sound	Stim;40;test;1;32;7	Stim	40	test	1	32	7	3032884	0	5			0		other	0
40	141	Picture	ITI	ITI						3083299	0	1	19581	1	0	next	other	0
40	142	Sound	Stim;40;test;1;33;2	Stim	40	test	1	33	2	3102815	0	4			0		other	0
40	143	Picture	ITI	ITI						3135307	0	1	16942	1	0	next	other	0
40	144	Sound	Stim;40;test;1;34;1	Stim	40	test	1	34	1	3152201	0	4			0		other	0
40	145	Picture	ITI	ITI						3182662	0	1	13262	1	0	next	other	0
40	146	Sound	Stim;40;test;1;35;2	Stim	40	test	1	35	2	3195877	0	4			0		other	0
40	147	Picture	ITI	ITI						3228351	0	1	12915	1	0	next	other	0
40	148	Sound	Stim;40;test;1;36;4	Stim	40	test	1	36	4	3241167	0	4			0		other	0
40	149	Picture	ITI	ITI						3278900	0	1	11804	1	0	next	other	0
40	150	Sound	Stim;40;test;1;37;1	Stim	40	test	1	37	1	3290624	0	4			0		other	0
40	151	Picture	ITI	ITI						3321117	0	1	13818	1	0	next	other	0
40	152	Sound	Stim;40;test;1;38;1	Stim	40	test	1	38	1	3334851	0	4			0		other	0
40	153	Picture	ITI	ITI						3365348	0	1	13887	1	0	next	other	0
40	154	Sound	Stim;40;test;1;39;4	Stim	40	test	1	39	4	3379164	0	4			0		other	0
40	155	Picture	ITI	ITI						3416938	0	1	15276	1	0	next	other	0
40	156	Sound	Stim;40;test;1;40;5	Stim	40	test	1	40	5	3432165	0	4			0		other	0
40	157	Picture	ITI	ITI						3473390	0	1	11249	1	0	next	other	0
40	158	Sound	Stim;40;test;1;41;7	Stim	40	test	1	41	7	3484560	0	4			0		other	0
40	159	Picture	ITI	ITI						3534979	0	1	14998	1	0	next	other	0
40	160	Sound	Stim;40;test;1;42;3	Stim	40	test	1	42	3	3549874	0	4			0		other	0
40	161	Picture	ITI	ITI						3584765	0	1	16248	1	0	next	other	0
40	162	Sound	Stim;40;test;1;43;2	Stim	40	test	1	43	2	3600940	0	4			0		other	0
40	163	Picture	ITI	ITI						3633439	0	1	18748	1	0	next	other	0
40	164	Sound	Stim;40;test;1;44;3	Stim	40	test	1	44	3	3652085	0	4			0		other	0
40	165	Picture	ITI	ITI						3686974	0	1	10901	1	0	next	other	0
40	166	Sound	Stim;40;test;1;45;4	Stim	40	test	1	45	4	3697820	0	4			0		other	0
40	167	Picture	ITI	ITI						3735579	0	1	15692	1	0	next	other	0
40	168	Sound	Stim;40;test;1;46;2	Stim	40	test	1	46	2	3751204	0	4			0		other	0
40	169	Picture	ITI	ITI						3783698	0	1	10485	1	0	next	other	0
40	170	Sound	Stim;40;test;1;47;2	Stim	40	test	1	47	2	3794093	0	4			0		other	0
40	171	Picture	ITI	ITI						3826540	0	1	12012	1	0	next	other	0
40	172	Sound	Stim;40;test;1;48;5	Stim	40	test	1	48	5	3838457	0	4			0		other	0
40	173	Picture	ITI	ITI						3879659	0	1	13054	1	0	next	other	0
40	174	Sound	Stim;40;test;1;49;6	Stim	40	test	1	49	6	3892675	0	4			0		other	0
40	175	Picture	Break	Break						3938124	0	1	147135	1	0	next	other	0
40	175	Response	1							4085190	147067	0
40	176	Picture	ITI	ITI						4085258	0	1	10068	1	0	next	other	0
40	177	Response	1							4112547	17221	0


{
   "app": "Presentation Version 20.1 Build 12.04.17",
   "device": "LENOVO 10FGCTO1WW",
   "experiment": "{772213B2-5F0F-4A35-9C2F-36954700C7EA}",
   "os": "Windows 7 64 bit",
   "package": "",
   "parameters": {
      "configuration": "Default configuration"
   },
   "scenario": "Bisection Task with Dynanometer.sce",
   "subject": "40",
   "timestamp": "2018/08/28 08:05:05 GMT"
}
